Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
1/25/2021,Audible.com,CHECKCARD  0124 Audible*Y22DJ2SG3                           Amzn.com/billNJ 24692161024100916532248,14.95,debit,Subscription,Adv Plus Banking - 1705,Subscription,
1/25/2021,Payment Thank You-Mobile,Payment Thank You-Mobile,138.76,credit,Credit Card Payment,CREDIT CARD,,
1/24/2021,Ralphs,RALPHS 0278,1.72,debit,Groceries,CREDIT CARD,,
1/22/2021,Disney plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Television,Discover,,
1/22/2021,Paper towel + toilet paper,Paper towel + toilet paper,8.5,debit,Shopping,Venmo,,
1/21/2021,In-N-Out Burger,IN N OUT BURGER 117,7.12,debit,Fast Food,CREDIT CARD,,
1/20/2021,Arduino kit,CHECKCARD  0119 AMZN MKTP US*8J0800VM3                      AMZN.COM/BILLWA 24431061019083333588206,65.69,debit,Hobbies,Adv Plus Banking - 1705,,
1/20/2021,Ralphs,RALPHS 0278,78.05,debit,Groceries,CREDIT CARD,,
1/19/2021,McDonald's,CHECKCARD  0117 DOORDASH*MCDONALDS                          WWW.DOORDASH.CA 24011341017000024063469,36.07,debit,Restaurants,Adv Plus Banking - 1705,,
1/19/2021,Rent help from dad,Zelle Transfer Conf# T09MZRRFS;                             GEORGE RODKEY,650.0,credit,Rental Income,Adv Plus Banking - 1705,,
1/19/2021,DISCOVER        ,DISCOVER         DES:E-PAYMENT  ID:5995                      INDN:RODKEY ELIAS            CO ID:XXXXX20270 WEB,7.7,debit,Credit Card Payment,Adv Plus Banking - 1705,,
1/19/2021,DISCOVER        ,DISCOVER         DES:E-PAYMENT  ID:5995                      INDN:RODKEY ELIAS            CO ID:XXXXX20270 WEB,15.4,debit,Credit Card Payment,Adv Plus Banking - 1705,,
1/19/2021,Ralphs,RALPHS 0278,7.65,debit,Groceries,CREDIT CARD,,
1/18/2021,Python book,Amazon Prime*AL98036V3,14.22,debit,Books,CREDIT CARD,,Beyond the basic stuff with python
1/15/2021,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX68040                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,395.89,debit,Credit Card Payment,Adv Plus Banking - 1705,,
1/15/2021,Directpay Full Balance,DIRECTPAY FULL BALANCE,7.7,credit,Credit Card Payment,Discover,,
1/14/2021,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,15.4,credit,Credit Card Payment,Discover,,
1/14/2021,Payment Thank You-Mobile,Payment Thank You-Mobile,395.89,credit,Credit Card Payment,CREDIT CARD,,
1/14/2021,Checked bag fee,ALASKA AIR  0272172216334,30.0,debit,Air Travel,CREDIT CARD,,
1/13/2021,Ralphs,RALPHS 0278,84.35,debit,Groceries,CREDIT CARD,,
1/11/2021,DELAURENTI FOOD AND WINE,DELAURENTI FOOD AND WINE,10.12,debit,Food & Dining,CREDIT CARD,,
1/11/2021,Rent help from mom,"Online Banking Transfer Conf# faee77743;                    WILLIAMS, TAMARA",700.0,credit,Rental Income,Adv Plus Banking - 1705,,
1/11/2021,Acorns Invest,Acorns Invest    DES:Transfer   ID:V89LSM                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,6.79,debit,Deposit,Adv Plus Banking - 1705,,
1/08/2021,EDD income,"BANK OF AMERICA  DES:FndTrnsfr  ID:RODKEY,ELIAS,P            INDN:RODKEY,ELIAS,P          CO ID:XXXXX21694 WEB",1200.0,credit,Paycheck,Adv Plus Banking - 8815,,
1/07/2021,FRISKO FREEZE,FRISKO FREEZE,9.15,debit,Fast Food,CREDIT CARD,,
1/07/2021,Amazon Purchase,Amazon.com*OR9H23VO3,26.84,debit,Amazon Purchases,CREDIT CARD,,
1/06/2021,Gloves for tunde,SUMMIT AT SNOQUALME,43.2,debit,Clothing,CREDIT CARD,Reimbursable,Bought gloves for Tunde
1/06/2021,NORTH 47 BREWING CO.,SQ *NORTH 47 BREWING CO.,13.8,debit,Alcohol & Bars,CREDIT CARD,,
1/06/2021,WDG - KENT,WDG - KENT,15.0,debit,Groceries,CREDIT CARD,,
1/05/2021,Disney plus,DisneyPLUS,6.0,debit,Television,CREDIT CARD,,
1/05/2021,Popeye's,POPEYES 11394,10.61,debit,Restaurants,CREDIT CARD,,
1/05/2021,Robinhood,ROBINHOOD        DES:Funds      ID:XXXXX2049                 INDN:Elias Rodkey            CO ID:XXXXX64776 WEB,20.0,debit,Investments,Adv Plus Banking - 8815,,
1/05/2021,Interest Earned,Interest Earned,0.03,credit,Interest Income,Regular Savings - 1721,,
1/04/2021,Safeway,SAFEWAY #3424,7.7,debit,Groceries,CREDIT CARD,,
1/04/2021,Safeway,SAFEWAY #3424,7.7,credit,Groceries,CREDIT CARD,,
1/04/2021,Gloves,Gloves,43.5,credit,Reimbursement,Venmo,,
1/04/2021,Apple Cloud Storage,PURCHASE   0103 APPLE.COM/BILL                              866-712-7753 CA 24692161003100105977175 RECURRING,0.99,debit,Subscription,Adv Plus Banking - 1705,Subscription,
1/04/2021,Xbox Live,PAYPAL           DES:INST XFER  ID:MICROSOFT XBOX            INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,11.01,debit,Subscription,Adv Plus Banking - 1705,Subscription,
1/04/2021,Acorns Invest,Acorns Invest    DES:Transfer   ID:1ZY5NM                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,10.0,debit,Deposit,Adv Plus Banking - 1705,,
1/03/2021,TACOMA SOLID WASTE,TACOMA SOLID WASTE,20.0,debit,Utilities,CREDIT CARD,Reimbursable,
1/03/2021,Safeway,SAFEWAY #3424,7.7,debit,Groceries,CREDIT CARD,,
1/03/2021,Snow time,Snow time,72.0,debit,Vacation,Venmo,,
1/01/2021,STADIUM THRIFTWAY,STADIUM THRIFTWAY,1.22,debit,Groceries,CREDIT CARD,,
1/01/2021,FRISKO FREEZE,FRISKO FREEZE,8.71,debit,Fast Food,CREDIT CARD,,
12/31/2020,WDG - KENT,WDG - KENT,15.0,debit,Groceries,CREDIT CARD,,
12/30/2020,"Online Banking Transfer Conf# 9bca6aa0f; WILLIAMS, TAMARA","Online Banking Transfer Conf# 9bca6aa0f;                    WILLIAMS, TAMARA",15.0,credit,Transfer,Adv Plus Banking - 1705,,
12/29/2020,Payment from mom,"Online Banking Transfer Conf# 9597002c6;                    WILLIAMS, TAMARA",160.0,credit,Paycheck,Adv Plus Banking - 1705,,
12/28/2020,Venmo Payment,VENMO            DES:PAYMENT    ID:XXXXX87315                INDN:ELI RODKEY              CO ID:XXXXX81992 WEB,1405.0,debit,Transfer,Adv Plus Banking - 1705,,
12/28/2020,Audible.com,CHECKCARD  1224 Audible*E40F73C23                           Amzn.com/billNJ 24692160359100024724940,14.95,debit,Books,Adv Plus Banking - 1705,,
12/28/2020,BKOFAMERICA MOBILE 12/28 3604038702 DEPOSIT *MOBILE WA,BKOFAMERICA MOBILE 12/28 3604038702 DEPOSIT                                    *MOBILE       WA,75.0,credit,Income,Adv Plus Banking - 1705,,
12/23/2020,Dick's Sporting,DICKSSPORTINGGOODS1263,27.53,debit,Sporting Goods,CREDIT CARD,,
12/23/2020,"BASS PRO STORE TACOMA, W","BASS PRO STORE TACOMA, W",44.07,debit,Shopping,CREDIT CARD,,
12/23/2020,Alaska Air,ALASKA AIR  0272171012068,30.0,debit,Air Travel,CREDIT CARD,,
12/23/2020,Amazon Purchase,AMZN Mktp US*054F262Y3,13.21,debit,Amazon Purchases,CREDIT CARD,,
12/23/2020,Fred Meyer,FRED MEYER 0390,9.38,debit,Groceries,CREDIT CARD,,
12/23/2020,Gabriel Rodkey Paid,Gabriel Rodkey Paid Eli Rodkey,257.5,credit,Reimbursement,Venmo,,
12/23/2020,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX74109                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,119.83,debit,Credit Card Payment,Adv Plus Banking - 1705,,
12/23/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:SPOTIFYUSAI               INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,5.38,debit,Subscription,Adv Plus Banking - 1705,,
12/22/2020,Payment Thank You-Mobile,Payment Thank You-Mobile,119.83,credit,Credit Card Payment,CREDIT CARD,,
12/22/2020,Gabriel Rodkey Paid,Gabriel Rodkey Paid Eli Rodkey,44.07,credit,Income,Venmo,,
12/22/2020,January rent,January rent,1405.0,debit,Mortgage & Rent,Venmo,,
12/22/2020,Online Banking transfer to CHK 1705 Confirmation# 1368632193,Online Banking transfer to CHK 1705                         Confirmation# 1368632193,250.0,debit,Transfer,Adv Plus Banking - 8815,,
12/22/2020,EFT 12/22 #000347442 WITHDRWL EFT Tacoma WA,EFT             12/22 #000347442 WITHDRWL                   EFT                Tacoma        WA,257.5,debit,Gift,Adv Plus Banking - 1705,Reimbursable,Gabes order
12/22/2020,EFT 12/22 #000347442 WITHDRWL EFT Tacoma WA FEE,EFT             12/22 #000347442 WITHDRWL                   EFT                Tacoma        WA   FEE,2.5,debit,ATM Fee,Adv Plus Banking - 1705,,
12/22/2020,Online Banking transfer from CHK 8815 Confirmation# 1368632193,Online Banking transfer from CHK 8815                       Confirmation# 1368632193,250.0,credit,Transfer,Adv Plus Banking - 1705,,
12/22/2020,Online Banking transfer from SAV 1721 Confirmation# 1366891029,Online Banking transfer from SAV 1721                       Confirmation# 1366891029,500.0,credit,Transfer,Adv Plus Banking - 1705,,
12/22/2020,Online Banking transfer to CHK 1705 Confirmation# 1366891029,Online Banking transfer to CHK 1705                         Confirmation# 1366891029,500.0,debit,Transfer,Regular Savings - 1721,,
12/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,Subscription,
12/20/2020,Amazon Purchase,AMZN Mktp US*Y92ZV17A3,13.21,debit,Amazon Purchases,CREDIT CARD,,
12/20/2020,Beach Pizza,SQ *BEACH PIZZA WESTCHEST,31.73,debit,Fast Food,CREDIT CARD,,
12/20/2020,Amazon Purchase,AMZN Mktp US*HK3483Y63,27.55,debit,Amazon Purchases,CREDIT CARD,,
12/20/2020,Amazon Purchase,Amazon Prime*7011Z3RT3,14.22,debit,Amazon Purchases,CREDIT CARD,,
12/17/2020,Amazon Purchase,AMZN Mktp US*1U2ZP20F3,14.64,debit,Amazon Purchases,CREDIT CARD,,
12/16/2020,Glow,Glow,35.0,debit,Personal Care,Venmo,,
12/16/2020,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX83107                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,185.05,debit,Credit Card Payment,Adv Plus Banking - 1705,,
12/16/2020,DISCOVER        ,DISCOVER         DES:E-PAYMENT  ID:5995                      INDN:RODKEY ELIAS            CO ID:XXXXX20270 WEB,7.7,debit,Credit Card Payment,Adv Plus Banking - 1705,,
12/15/2020,Payment Thank You-Mobile,Payment Thank You-Mobile,185.05,credit,Credit Card Payment,CREDIT CARD,,
12/15/2020,Ralphs,RALPHS 0278,18.48,debit,Groceries,CREDIT CARD,,
12/15/2020,Rent help from dad,Zelle Transfer Conf# T09FT3GSP;                             GEORGE RODKEY,650.0,credit,Rental Income,Adv Plus Banking - 1705,,
12/15/2020,Directpay Full Balance,DIRECTPAY FULL BALANCE,7.7,credit,Credit Card Payment,Discover,,
12/13/2020,"365 RETAIL MARKETS, L","SQ *365 RETAIL MARKETS, L",5.33,debit,Groceries,CREDIT CARD,,
12/13/2020,Ralphs,RALPHS 0278,36.96,debit,Groceries,CREDIT CARD,,
12/12/2020,Sammy,Sammy,21.0,debit,Restaurants,Venmo,,
12/11/2020,Ready Player One Rental,Prime Video*W65CE1O23,3.99,debit,Movies & DVDs,CREDIT CARD,,
12/11/2020,DWP + gas + PDO October utilities,DWP + gas + PDO October utilities,212.05,debit,Utilities,Venmo,,
12/09/2020,"G & M Oil Company, Inc.",G&M OIL COMPANY #194,25.72,debit,Gas & Fuel,CREDIT CARD,,
12/09/2020,Ralphs,RALPHS 0278,76.4,debit,Groceries,CREDIT CARD,,
12/09/2020,In-N-Out Burger,IN N OUT BURGER 117,7.12,debit,Fast Food,CREDIT CARD,,
12/08/2020,L494426 12/08 #000972333 WITHDRWL JAGS BARBER -4944 LOS ANGELES CA FEE,L494426         12/08 #000972333 WITHDRWL                   JAGS BARBER -4944  LOS ANGELES   CA   FEE,2.5,debit,ATM Fee,Adv Plus Banking - 1705,,
12/08/2020,Rent help from mom,"Online Banking Transfer Conf# 9f2be71dc;                    WILLIAMS, TAMARA",650.0,credit,Rental Income,Adv Plus Banking - 1705,,
12/08/2020,L494426 12/08 #000972333 WITHDRWL JAGS BARBER -4944 LOS ANGELES CA,L494426         12/08 #000972333 WITHDRWL                   JAGS BARBER -4944  LOS ANGELES   CA,42.75,debit,Hair,Adv Plus Banking - 1705,,
12/07/2020,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX72044                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,128.87,debit,Credit Card Payment,Adv Plus Banking - 1705,,
12/07/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:MICROSOFT XBOX            INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,11.01,debit,Subscription,Adv Plus Banking - 1705,,
12/07/2020,Apple Cloud Storage,PURCHASE   1204 APPLE.COM/BILL                              866-712-7753 CA 24692160339100715143256 RECURRING,0.99,debit,Subscription,Adv Plus Banking - 1705,,
12/07/2020,Interest Earned,Interest Earned,0.04,credit,Interest Income,Regular Savings - 1721,,
12/06/2020,Ralphs,RALPHS 0278,23.53,debit,Groceries,CREDIT CARD,,
12/06/2020,Disney Plus,DisneyPLUS,6.0,debit,Subscription,CREDIT CARD,,
12/06/2020,Payment Thank You-Mobile,Payment Thank You-Mobile,128.87,credit,Credit Card Payment,CREDIT CARD,,
12/04/2020,Home Depot,THE HOME DEPOT 6611,29.77,debit,Home Improvement,CREDIT CARD,,
12/04/2020,Ralphs,RALPHS 0278,24.07,debit,Groceries,CREDIT CARD,,
12/04/2020,Subscription    ,Subscription     DES:Acorns     ID:91NRD1                    INDN:Elias Rodkey            CO ID:XXXXX42694 WEB,3.0,debit,Entertainment,Adv Plus Banking - 1705,,
12/03/2020,Bristol Farms,BRISTOL FARMS # 04,22.37,debit,Groceries,CREDIT CARD,,
12/03/2020,Bristol Farms,BRISTOL FARMS # 04,12.68,debit,Groceries,CREDIT CARD,,
12/02/2020,Ralphs,RALPHS 0278,39.98,debit,Groceries,CREDIT CARD,,
12/02/2020,Plants Ethernet Adapter,Plants and Ethernet adapter,24.0,credit,Reimbursement,Venmo,,
12/02/2020,Robinhood,ROBINHOOD        DES:Funds      ID:XXXXX2049                 INDN:Elias Rodkey            CO ID:XXXXX64776 WEB,20.0,debit,Investments,Adv Plus Banking - 8815,,
12/02/2020,Acorns Invest,Acorns Invest    DES:Transfer   ID:SR5P2M                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,10.0,debit,Deposit,Adv Plus Banking - 1705,,
11/30/2020,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX77773                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,129.52,debit,Credit Card Payment,Adv Plus Banking - 1705,,
11/30/2020,Apple Cloud Storage,PURCHASE   1127 APPLE.COM/BILL                              408-974-1010 CA 24430990332828715269598,9.99,debit,Subscription,Adv Plus Banking - 1705,,
11/29/2020,Payment Thank You-Mobile,Payment Thank You-Mobile,129.52,credit,Credit Card Payment,CREDIT CARD,,
11/26/2020,McDonald's,MCDONALD'S F13054,5.75,debit,Fast Food,CREDIT CARD,,
11/25/2020,McDonald's,MCDONALD'S F4578,6.13,debit,Fast Food,CREDIT CARD,,
11/25/2020,Audible.com,CHECKCARD  1124 Audible*5H2IG88F3                           Amzn.com/billNJ 24692160329100425444889,14.95,debit,Books,Adv Plus Banking - 1705,,
11/24/2020,FAST TRACK FOOD AND FUEL,FAST TRACK FOOD AND FUEL,12.07,debit,Food & Dining,CREDIT CARD,,
11/24/2020,ANNIE'S SANDWICHES,SQ *ANNIE'S SANDWICHES,8.62,debit,Restaurants,CREDIT CARD,,
11/24/2020,Rent,VENMO            DES:PAYMENT    ID:XXXXX36386                INDN:ELI RODKEY              CO ID:XXXXX81992 WEB,1405.0,debit,Transfer,Adv Plus Banking - 1705,,
11/23/2020,December rent,December rent,1405.0,debit,Mortgage & Rent,Venmo,,
11/23/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:SPOTIFYUSAI               INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,5.38,debit,Subscription,Adv Plus Banking - 1705,,
11/23/2020,Chick-Fil-A,CHECKCARD  1122 DOORDASH*CHICK-FIL-A                        WWW.DOORDASH.CA 24492150327637801479984,29.41,debit,Restaurants,Adv Plus Banking - 1705,,
11/22/2020,Batteries,Batteries,7.0,debit,Electronics & Software,Venmo,,
11/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
11/21/2020,Blake Crowther Paid,Blake Crowther Paid Eli Rodkey,14.56,credit,Restaurants,Venmo,,
11/21/2020,Shack,Shack,40.0,debit,Restaurants,Venmo,,
11/20/2020,SP * MADROCK STORE,SP * MADROCK STORE,43.28,debit,Clothing,CREDIT CARD,,
11/20/2020,Acorns Invest,Acorns Invest    DES:Transfer   ID:L789WL                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,5.92,debit,Deposit,Adv Plus Banking - 1705,,
11/18/2020,Amazon Purchase,Amazon Prime*A78GS30T3,14.22,debit,Amazon Purchases,CREDIT CARD,,
11/18/2020,Check Deposit,BKOFAMERICA MOBILE 11/18 3691365197 DEPOSIT                                    *MOBILE       WA,50.0,credit,Paycheck,Adv Plus Banking - 1705,,
11/18/2020,Check Deposit,BKOFAMERICA MOBILE 11/18 3691366865 DEPOSIT                                    *MOBILE       WA,300.0,credit,Paycheck,Adv Plus Banking - 1705,,
11/17/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:MICROSOFT XBOX            INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,22.03,debit,Subscription,Adv Plus Banking - 1705,,
11/17/2020,DOORDASH*BUFFALO WILD WWW.DOORDASH.CA 24492150321637260791248,CHECKCARD  1116 DOORDASH*BUFFALO WILD                       WWW.DOORDASH.CA 24492150321637260791248,64.29,debit,Restaurants,Adv Plus Banking - 1705,,
11/16/2020,Amazon Purchase,AMZN Mktp US*K228C4EB3,28.46,debit,Amazon Purchases,CREDIT CARD,,
11/16/2020,DISCOVER        ,DISCOVER         DES:E-PAYMENT  ID:5995                      INDN:RODKEY ELIAS            CO ID:XXXXX20270 WEB,7.7,debit,Credit Card Payment,Adv Plus Banking - 1705,,
11/16/2020,Panda Express,CHECKCARD  1114 DOORDASH*PANDA EXPRESS                      WWW.DOORDASH.CA 24492150319637088731941,33.69,debit,Restaurants,Adv Plus Banking - 1705,,
11/16/2020,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX22615                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,606.49,debit,Credit Card Payment,Adv Plus Banking - 1705,,
11/16/2020,Rent help from dad,Zelle Transfer Conf# T097Z2ZP9;                             GEORGE RODKEY,650.0,credit,Rental Income,Adv Plus Banking - 1705,,
11/15/2020,Bristol Farms,BRISTOL FARMS # 04,10.99,debit,Groceries,CREDIT CARD,,
11/15/2020,Payment Thank You-Mobile,Payment Thank You-Mobile,606.49,credit,Credit Card Payment,CREDIT CARD,,
11/15/2020,Directpay Full Balance,DIRECTPAY FULL BALANCE,7.7,credit,Credit Card Payment,Discover,,
11/13/2020,Kaiser Permanente,KAISER 0803310,59.0,debit,Doctor,CREDIT CARD,,
11/13/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:MICROSOFT XBOX            INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,66.11,debit,Subscription,Adv Plus Banking - 1705,,
11/12/2020,Rent help from mom,"Online Banking Transfer Conf# 3e55269c5;                    WILLIAMS, TAMARA",650.0,credit,Rental Income,Adv Plus Banking - 1705,,
11/11/2020,Ralphs,RALPHS 0278,79.42,debit,Groceries,CREDIT CARD,,
11/11/2020,Amazon Purchase,Amazon.com*2818M4RU1,29.51,debit,Amazon Purchases,CREDIT CARD,,
11/10/2020,Amazon Purchase,AMZN Mktp US*282923WL1,13.13,debit,Amazon Purchases,CREDIT CARD,,
11/09/2020,Brews Claws Halloween,Brews claws Halloween and then also more brews,81.0,credit,Reimbursement,Venmo,,
11/08/2020,Ralphs,RALPHS 0278,27.15,debit,Groceries,CREDIT CARD,,
11/08/2020,Trash can bet,Trash can bet,0.05,debit,Income,Venmo,,
11/08/2020,Trash at trash can,Trash at trash can,0.5,debit,Income,Venmo,,
11/08/2020,Nice,Nice,1.0,credit,Income,Venmo,,
11/08/2020,I Lost A,I lost a bet,2.0,credit,Income,Venmo,,
11/08/2020,Lit times yo,Lit times yo,0.5,debit,ATM Fee,Venmo,,
11/08/2020,Trash can,Trash can,1.05,debit,ATM Fee,Venmo,,
11/08/2020,Beta,Beta,1.0,debit,ATM Fee,Venmo,,
11/08/2020,Brews Claws A,Brews claws and a Halloween,31.0,credit,Income,Venmo,,
11/06/2020,Yard House,Yard house,22.61,debit,Food & Dining,Venmo,,
